NAM_ID,testa_color
3.6_002,y
3.6_003,y
3.6_006,y
3.6_008,y
3.6_009,y
3.6_011,y
3.6_012,y
3.6_013,n
3.6_014,y
3.6_015,n
3.6_016,y
3.6_017,n
3.6_018,y
3.6_020,y
3.6_021,n
3.6_022,n
3.6_023,y
3.6_024,y
3.6_025,y
3.6_026,y
3.6_027,y
3.6_028,y
3.6_029,y
3.6_030,y
3.6_031,y
3.6_033,y
3.6_034,y
3.6_035,y
3.6_037,y
3.6_038,y
3.6_039,y
3.6_040,n
3.6_041,y
3.6_042,y
3.6_043,y
3.6_044,y
3.6_045,n
3.6_046,n
3.6_047,y
3.6_048,n
3.6_049,y
3.6_050,y
3.6_052,n
3.6_053,y
3.6_054,y
3.6_055,y
3.6_056,y
3.6_057,y
3.6_058,y
3.6_059,y
3.6_060,y
3.6_061,y
3.6_062,NA
3.6_063,y
3.6_064,y
3.6_065,y
3.6_066,n
3.6_067,y
3.6_069,n
3.6_070,y
3.6_071,n
3.6_072,y
3.6_074,y
3.6_075,y
3.6_076,n
3.6_077,y
3.6_078,n
3.6_079,y
3.6_080,y
3.6_082,n
3.6_083,n
3.6_086,n
3.6_088,y
3.6_089,n
3.6_090,y
3.6_091,n
3.6_094,n
3.6_097,y
3.6_098,n
3.6_100,y
3.6_101,n
3.6_102,n
3.6_103,y
3.6_104,y
3.6_105,n
3.6_106,y
3.6_107,n
3.6_108,n
3.6_109,y
3.6_110,n
3.6_112,y
3.6_113,n
3.6_114,y
3.6_115,y
3.6_117,y
3.6_119,y
3.6_120,y
3.6_121,n
3.6_122,n
3.6_123,y
3.6_124,y
3.6_125,y
3.6_126,y
3.6_128,y
3.6_129,y
3.6_130,y
3.6_131,y
3.6_132,y
3.6_133,y
3.6_135,y
3.6_136,y
3.6_138,y
3.6_139,y
3.6_142,y
3.6_143,n
3.6_145,n
3.6_146,y
3.6_148,y
3.6_149,y
3.6_150,y
3.6_151,n
3.6_152,n
3.6_153,n
3.6_154,n
3.6_155,n
3.6_156,y
3.6_157,y
3.6_158,n
3.6_159,y
3.6_160,y
3.6_161,y
3.6_162,y
3.6_163,n
3.6_164,y
3.6_165,y
3.6_167,y
3.6_168,y
3.6_170,y
3.6_171,y
3.6_172,n
3.6_177,y
3.6_178,n
3.6_179,y
3.6_180,y
3.6_181,y
3.6_182,y
3.6_183,n
3.6_186,y
3.6_189,n
3.6_190,y
3.6_192,y
3.6_195,y
3.6_197,y
3.6_198,y
3.6_199,y
3.6_200,y
3.6_202,y
3.6_203,n
3.6_204,y
3.6_205,n
3.6_206,y
3.6_207,y
3.6_209,y
3.6_210,y
3.6_211,y
3.6_212,y
3.6_213,n
3.6_216,y
3.6_218,n
3.6_219,y
3.6_220,y
3.6_221,y
3.6_222,y
3.6_223,n
3.6_224,n
3.6_225,n
3.6_226,y
3.6_228,y
3.6_230,y
3.6_231,n
3.6_232,n
3.6_233,n
3.6_235,y
3.6_236,y
3.6_239,n
3.6_240,n
3.6_241,n
3.6_242,n
3.6_244,y
3.6_245,n
3.6_246,n
3.6_247,y
3.6_248,n
6.4_001,y
6.4_002,y
6.4_003,y
6.4_004,n
6.4_005,y
6.4_006,n
6.4_007,y
6.4_008,n
6.4_009,y
6.4_010,n
6.4_011,y
6.4_012,y
6.4_013,y
6.4_014,n
6.4_015,n
6.4_016,y
6.4_020,y
6.4_021,y
6.4_022,y
6.4_025,y
6.4_026,n
6.4_027,n
6.4_028,y
6.4_029,n
6.4_030,y
6.4_031,n
6.4_032,n
6.4_033,n
6.4_034,y
6.4_035,y
6.4_037,n
6.4_038,n
6.4_039,n
6.4_041,n
6.4_042,y
6.4_043,y
6.4_044,n
6.4_046,y
6.4_047,n
6.4_049,y
6.4_050,n
6.4_051,y
6.4_053,n
6.4_054,n
6.4_056,n
6.4_057,n
6.4_058,n
6.4_059,y
6.4_060,y
6.4_061,y
6.4_062,n
6.4_064,n
6.4_065,y
6.4_066,n
6.4_069,n
6.4_071,y
6.4_072,n
6.4_073,y
6.4_074,n
6.4_075,y
6.4_076,y
6.4_077,n
6.4_078,y
6.4_080,y
6.4_081,y
6.4_082,y
6.4_084,y
6.4_085,y
6.4_086,n
6.4_087,n
6.4_088,y
6.4_089,n
6.4_090,y
6.4_091,y
6.4_093,y
6.4_094,y
6.4_095,n
6.4_096,n
6.4_097,n
6.4_098,n
6.4_099,n
6.4_100,n
6.4_102,y
6.4_104,n
6.4_105,n
6.4_106,y
6.4_107,y
6.4_108,y
6.4_109,n
6.4_111,y
6.4_113,y
6.4_114,n
6.4_115,y
6.4_116,n
6.4_117,y
6.4_118,y
6.4_120,n
6.4_121,n
6.4_122,y
6.4_123,y
6.4_124,y
6.4_125,y
6.4_126,y
6.4_127,n
6.4_128,y
6.4_129,n
6.4_130,y
6.4_131,y
6.4_132,y
6.4_133,y
6.4_134,y
6.4_135,n
6.4_136,y
6.4_137,y
6.4_138,y
6.4_139,y
6.4_142,y
6.4_144,y
6.4_146,n
6.4_147,y
6.4_149,y
6.4_151,y
6.4_153,n
6.4_154,y
6.4_156,n
6.4_157,y
6.4_158,y
6.4_159,y
6.4_160,n
6.4_161,y
6.4_162,y
6.4_163,y
6.4_164,y
6.4_165,y
6.4_166,y
6.4_167,n
6.4_168,n
6.4_169,n
6.4_170,y
6.4_171,n
6.4_172,y
6.4_173,y
6.4_174,y
6.4_175,n
6.4_176,y
6.4_177,n
6.4_178,y
6.4_179,y
6.4_180,y
6.4_181,n
6.4_182,n
6.4_183,y
6.4_184,y
6.4_186,y
6.4_187,n
6.4_188,y
6.4_189,y
6.4_190,y
6.4_191,y
6.4_192,n
6.4_193,y
6.4_195,n
6.4_197,n
6.4_198,n
6.4_199,n
6.4_200,n
6.4_201,n
6.4_202,n
6.4_203,n
6.4_204,y
6.4_205,y
6.4_206,n
6.4_207,n
6.4_208,y
6.4_209,y
6.4_211,y
6.4_212,n
6.4_213,y
6.4_214,n
6.4_215,n
6.4_216,y
6.4_218,y
6.4_219,y
6.4_220,y
6.4_221,n
6.4_222,n
6.4_226,n
6.4_227,n
6.4_228,y
6.4_231,y
6.4_232,y
6.4_233,y
6.4_234,y
9.4_001,y
9.4_002,y
9.4_003,y
9.4_005,n
9.4_006,y
9.4_007,y
9.4_008,n
9.4_009,y
9.4_010,y
9.4_011,y
9.4_012,NA
9.4_013,n
9.4_014,NA
9.4_015,n
9.4_016,n
9.4_017,n
9.4_018,n
9.4_019,y
9.4_020,y
9.4_021,y
9.4_022,NA
9.4_023,y
9.4_024,n
9.4_025,n
9.4_026,y
9.4_028,n
9.4_029,n
9.4_030,y
9.4_031,y
9.4_032,y
9.4_033,y
9.4_034,y
9.4_035,y
9.4_037,y
9.4_038,NA
9.4_039,NA
9.4_040,y
9.4_041,n
9.4_042,n
9.4_043,n
9.4_044,y
9.4_045,n
9.4_046,y
9.4_047,n
9.4_048,y
9.4_049,NA
9.4_050,y
9.4_051,NA
9.4_052,y
9.4_053,y
9.4_054,y
9.4_055,n
9.4_056,y
9.4_058,n
9.4_059,y
9.4_060,NA
9.4_061,y
9.4_062,n
9.4_063,y
9.4_064,y
9.4_065,y
9.4_066,y
9.4_067,y
9.4_068,n
9.4_069,n
9.4_070,y
9.4_071,n
9.4_072,y
9.4_073,y
9.4_074,y
9.4_075,n
9.4_076,n
9.4_077,y
9.4_078,y
9.4_079,n
9.4_080,y
9.4_081,y
9.4_082,y
9.4_083,y
9.4_084,NA
9.4_085,y
9.4_086,n
9.4_087,n
9.4_088,y
9.4_090,NA
9.4_092,y
9.4_093,y
9.4_094,y
9.4_096,NA
9.4_098,y
9.4_099,y
9.4_100,y
9.4_101,y
9.4_102,y
9.4_103,y
9.4_104,y
9.4_105,y
9.4_106,y
9.4_107,y
9.4_108,n
9.4_109,y
9.4_110,NA
9.4_111,y
9.4_112,y
9.4_113,y
9.4_114,y
9.4_115,y
9.4_116,y
9.4_117,n
9.4_118,y
9.4_119,n
9.4_120,y
9.4_121,n
9.4_122,n
9.4_123,NA
9.4_124,y
9.4_125,NA
9.4_126,y
9.4_127,NA
9.4_129,y
9.4_130,NA
9.4_131,y
9.4_132,n
9.4_133,y
9.4_134,y
9.4_135,y
9.4_136,n
9.4_137,NA
9.4_138,y
9.4_139,n
9.4_140,n
9.4_141,n
9.4_142,NA
9.4_143,n
9.4_144,n
9.4_145,NA
9.4_146,y
9.4_147,n
9.4_148,n
9.4_149,n
9.4_150,NA
9.4_151,y
9.4_152,n
9.4_153,n
9.4_154,n
9.4_155,y
9.4_156,y
9.4_157,y
9.4_158,y
9.4_159,n
9.4_160,n
9.4_161,y
9.4_162,y
9.4_163,NA
9.4_164,y
9.4_165,y
9.4_166,n
9.4_167,n
9.4_168,y
9.4_169,n
9.4_170,y
9.4_171,n
9.4_172,n
9.4_173,y
9.4_174,y
9.4_175,NA
9.4_176,n
9.4_177,y
9.4_179,y
9.4_180,NA
9.4_182,y
9.4_183,y
9.4_184,y
9.4_185,NA
9.4_186,n
9.4_187,y
9.4_188,y
9.4_189,y
9.4_190,n
9.4_191,y
9.4_192,y
9.4_193,n
9.4_194,y
9.4_195,y
9.4_196,n
9.4_197,y
9.4_198,n
9.4_199,y
9.4_200,y
9.4_201,n
9.4_202,y
9.4_203,y
9.4_204,y
9.4_205,NA
9.4_206,n
9.4_207,y
9.4_208,n
9.4_209,y
9.4_210,y
9.4_211,y
9.4_212,y
9.4_214,y
9.4_215,y
9.4_216,NA
9.4_217,y
9.4_218,y
9.4_219,n
9.4_220,y
9.4_221,n
9.4_223,y
9.4_225,n
9.4_226,y
9.4_227,y
9.4_228,n
9.4_229,n
9.4_230,y
9.4_231,y
9.4_232,y
9.4_233,n
9.4_234,y
9.4_235,y
9.4_236,n
9.4_238,NA
9.4_239,y
9.4_240,NA
9.4_241,n
9.4_242,y
9.4_244,NA
9.4_245,n
9.4_246,y
9.4_247,y
9.4_248,NA
9.4_249,n
9.4_250,n
12.2_001,n
12.2_002,n
12.2_003,y
12.2_004,n
12.2_006,y
12.2_007,n
12.2_008,n
12.2_009,y
12.2_010,y
12.2_011,y
12.2_013,n
12.2_014,n
12.2_015,n
12.2_016,n
12.2_017,n
12.2_018,n
12.2_019,n
12.2_021,n
12.2_022,n
12.2_023,n
12.2_024,n
12.2_026,n
12.2_028,n
12.2_029,n
12.2_030,n
12.2_031,n
12.2_032,n
12.2_033,n
12.2_035,n
12.2_036,n
12.2_043,n
12.2_046,n
12.2_047,n
12.2_049,n
12.2_050,n
12.2_051,n
12.2_052,n
12.2_053,n
12.2_054,n
12.2_055,y
12.2_056,n
12.2_057,n
12.2_058,n
12.2_059,n
12.2_060,n
12.2_061,y
12.2_063,y
12.2_064,n
12.2_067,n
12.2_068,y
12.2_069,y
12.2_071,y
12.2_072,y
12.2_073,y
12.2_074,y
12.2_075,y
12.2_076,n
12.2_078,y
12.2_079,n
12.2_080,n
12.2_081,n
12.2_082,y
12.2_083,y
12.2_085,y
12.2_086,n
12.2_088,n
12.2_091,n
12.2_092,y
12.2_093,y
12.2_094,y
12.2_095,y
12.2_096,y
12.2_097,y
12.2_098,y
12.2_099,y
12.2_100,y
12.2_101,y
12.2_102,n
12.2_103,y
12.2_104,y
12.2_105,y
12.2_106,n
12.2_108,y
12.2_109,n
12.2_110,y
12.2_111,y
12.2_112,y
12.2_113,n
12.2_114,y
12.2_115,y
12.2_116,n
12.2_117,n
12.2_118,y
12.2_119,y
12.2_120,n
12.2_121,n
12.2_123,n
12.2_124,n
12.2_128,n
12.2_130,y
12.2_131,y
12.2_132,y
12.2_133,n
12.2_134,y
12.2_135,y
12.2_136,y
12.2_137,n
12.2_138,y
12.2_139,y
12.2_140,y
12.2_141,y
12.2_142,y
12.2_143,y
12.2_144,y
12.2_145,n
12.2_147,n
12.2_148,n
12.2_149,n
12.2_150,n
12.2_151,y
12.2_152,y
12.2_153,y
12.2_155,n
12.2_158,n
12.2_159,y
12.2_160,n
12.2_163,y
12.2_164,y
12.2_165,y
12.2_166,y
12.2_167,y
12.2_168,y
12.2_169,n
12.2_170,n
12.2_171,y
12.2_172,y
12.2_173,y
12.2_174,y
12.2_175,n
12.2_176,n
12.2_177,y
12.2_178,y
12.2_179,n
12.2_180,y
12.2_181,n
12.2_182,n
12.2_183,y
12.2_184,n
12.2_185,n
12.2_186,y
12.2_187,y
12.2_188,y
12.2_189,n
12.2_190,n
12.2_191,n
12.2_192,n
12.2_193,n
12.2_194,y
12.2_195,n
12.2_197,y
12.2_198,n
12.2_199,y
12.2_200,y
12.2_201,y
12.2_205,n
12.2_208,y
12.2_209,y
12.2_210,y
12.2_212,y
12.2_213,n
12.2_215,n
12.2_216,y
12.2_217,n
12.2_218,y
12.2_219,y
12.2_220,y
12.2_221,n
12.2_222,n
12.2_224,n
12.2_225,n
12.2_226,n
12.2_227,y
12.2_228,n
12.2_229,n
12.2_230,n
12.2_231,n
12.2_232,y
12.2_233,n
12.2_235,y
12.2_238,n
12.2_243,n
12.2_244,n
12.2_247,n
12.2_248,n
12.2_249,n
12.2_250,n
14.1_001,y
14.1_002,n
14.1_004,n
14.1_005,y
14.1_006,y
14.1_007,y
14.1_008,y
14.1_009,n
14.1_010,y
14.1_011,y
14.1_013,n
14.1_014,n
14.1_015,y
14.1_016,y
14.1_017,n
14.1_018,n
14.1_019,y
14.1_020,n
14.1_021,n
14.1_022,n
14.1_023,n
14.1_024,NA
14.1_025,n
14.1_026,y
14.1_027,NA
14.1_028,n
14.1_029,n
14.1_030,n
14.1_031,y
14.1_032,n
14.1_033,y
14.1_034,y
14.1_035,n
14.1_036,n
14.1_037,n
14.1_038,n
14.1_040,n
14.1_041,y
14.1_042,y
14.1_043,y
14.1_044,y
14.1_045,n
14.1_046,y
14.1_047,y
14.1_048,n
14.1_049,y
14.1_050,NA
14.1_051,y
14.1_053,y
14.1_054,y
14.1_055,y
14.1_056,y
14.1_057,n
14.1_058,n
14.1_059,NA
14.1_060,y
14.1_061,y
14.1_062,y
14.1_063,n
14.1_065,n
14.1_066,n
14.1_067,y
14.1_068,y
14.1_069,y
14.1_070,n
14.1_071,y
14.1_072,NA
14.1_074,y
14.1_075,n
14.1_076,y
14.1_078,n
14.1_081,n
14.1_082,y
14.1_083,n
14.1_084,y
14.1_085,y
14.1_086,y
14.1_087,y
14.1_088,y
14.1_089,y
14.1_090,y
14.1_091,y
14.1_092,y
14.1_095,y
14.1_096,y
14.1_098,y
14.1_099,y
14.1_100,y
14.1_101,y
14.1_102,y
14.1_105,y
14.1_106,y
14.1_107,n
14.1_108,n
14.1_109,n
14.1_110,n
14.1_111,n
14.1_112,n
14.1_113,NA
14.1_114,n
14.1_115,n
14.1_116,n
14.1_117,n
14.1_118,y
14.1_119,n
14.1_120,y
14.1_121,y
14.1_122,n
14.1_123,n
14.1_124,y
14.1_125,n
14.1_126,y
14.1_127,n
14.1_128,n
14.1_129,NA
14.1_130,n
14.1_131,y
14.1_132,n
14.1_133,n
14.1_134,n
14.1_135,y
14.1_136,y
14.1_137,n
14.1_138,n
14.1_139,n
14.1_141,y
14.1_142,y
14.1_143,n
14.1_144,y
14.1_145,NA
14.1_147,y
14.1_148,NA
14.1_149,y
14.1_150,n
14.1_151,n
14.1_152,NA
14.1_153,NA
14.1_155,y
14.1_156,y
14.1_157,y
14.1_158,n
14.1_159,n
14.1_160,y
14.1_162,n
14.1_163,n
14.1_164,n
14.1_165,n
14.1_167,y
14.1_169,y
14.1_170,n
14.1_171,y
14.1_172,y
14.1_174,y
14.1_175,n
14.1_176,y
14.1_177,y
14.1_178,y
14.1_179,n
14.1_180,y
14.1_181,n
14.1_182,n
14.1_183,y
14.1_184,n
14.1_185,NA
14.1_186,n
14.1_187,y
14.1_188,n
14.1_189,y
14.1_190,y
14.1_191,y
14.1_193,y
14.1_194,y
14.1_196,y
14.1_197,y
14.1_198,y
14.1_199,y
14.1_200,y
14.1_201,y
14.1_203,y
14.1_204,y
14.1_205,y
14.1_206,n
14.1_207,y
14.1_209,n
14.1_210,n
14.1_211,n
14.1_212,n
14.1_214,n
14.1_215,n
14.1_216,NA
14.1_217,y
14.1_218,n
14.1_219,y
14.1_220,y
14.1_221,y
14.1_222,n
14.1_223,y
14.1_224,y
14.1_225,y
14.1_227,y
14.1_228,y
14.1_229,n
14.1_230,y
14.1_231,y
14.1_232,n
14.1_233,y
14.1_234,n
14.1_235,y
14.1_236,n
14.1_237,n
14.1_238,y
14.1_239,y
14.1_240,n
14.1_241,n
14.1_242,n
14.1_243,y
14.1_244,n
14.1_245,n
14.1_246,y
14.1_247,n
14.1_248,y
14.1_249,y
14.1_250,n
15.2_001,n
15.2_002,n
15.2_004,y
15.2_005,n
15.2_006,NA
15.2_007,NA
15.2_008,y
15.2_009,n
15.2_010,y
15.2_011,n
15.2_014,n
15.2_015,n
15.2_017,n
15.2_018,n
15.2_020,n
15.2_021,y
15.2_022,y
15.2_023,y
15.2_024,y
15.2_025,y
15.2_026,y
15.2_027,y
15.2_028,y
15.2_030,y
15.2_033,n
15.2_034,n
15.2_035,n
15.2_036,y
15.2_037,NA
15.2_038,n
15.2_039,n
15.2_040,n
15.2_041,NA
15.2_043,y
15.2_044,y
15.2_045,y
15.2_046,n
15.2_047,n
15.2_048,y
15.2_049,y
15.2_050,y
15.2_051,y
15.2_052,y
15.2_053,y
15.2_054,n
15.2_055,y
15.2_057,n
15.2_058,y
15.2_060,y
15.2_062,n
15.2_063,n
15.2_064,n
15.2_065,n
15.2_066,y
15.2_067,y
15.2_069,y
15.2_070,n
15.2_071,n
15.2_072,n
15.2_073,n
15.2_074,y
15.2_075,n
15.2_076,n
15.2_077,n
15.2_078,n
15.2_079,n
15.2_080,n
15.2_081,y
15.2_082,y
15.2_083,n
15.2_084,n
15.2_085,n
15.2_086,n
15.2_087,NA
15.2_088,n
15.2_089,n
15.2_090,y
15.2_091,n
15.2_092,n
15.2_093,y
15.2_094,n
15.2_095,y
15.2_096,y
15.2_097,y
15.2_098,n
15.2_099,y
15.2_100,n
15.2_101,n
15.2_102,n
15.2_103,n
15.2_104,y
15.2_105,n
15.2_106,NA
15.2_107,n
15.2_109,n
15.2_110,y
15.2_111,n
15.2_112,y
15.2_113,y
15.2_114,y
15.2_115,y
15.2_116,y
15.2_118,n
15.2_119,y
15.2_120,y
15.2_121,n
15.2_122,n
15.2_123,y
15.2_124,y
15.2_125,y
15.2_126,n
15.2_128,n
15.2_129,y
15.2_130,y
15.2_131,y
15.2_133,n
15.2_136,y
15.2_137,y
15.2_139,n
15.2_140,y
15.2_141,y
15.2_142,y
15.2_143,n
15.2_144,n
15.2_146,n
15.2_147,y
15.2_148,y
15.2_149,y
15.2_150,y
15.2_151,n
15.2_152,y
15.2_153,n
15.2_154,y
15.2_155,n
15.2_156,y
15.2_157,n
15.2_158,n
15.2_159,y
15.2_160,y
15.2_161,y
15.2_162,n
15.2_163,y
15.2_164,y
15.2_165,n
15.2_166,n
15.2_167,n
15.2_168,n
15.2_169,n
15.2_170,y
15.2_171,n
15.2_172,y
15.2_174,n
15.2_181,n
15.2_184,n
15.2_187,n
15.2_188,y
15.2_190,y
15.2_191,n
15.2_194,y
15.2_196,y
15.2_197,NA
15.2_198,n
15.2_199,y
15.2_200,y
15.2_201,y
15.2_203,y
15.2_204,n
15.2_205,y
15.2_206,n
15.2_210,n
15.2_211,y
15.2_212,n
15.2_213,y
15.2_214,y
15.2_216,n
15.2_217,y
15.2_218,y
15.2_219,n
15.2_220,y
15.2_221,y
15.2_222,y
15.2_223,n
15.2_224,n
15.2_228,n
15.2_229,NA
15.2_230,n
15.2_231,y
15.2_232,y
15.2_233,y
15.2_234,y
15.2_235,NA
15.2_236,y
15.2_237,y
15.2_238,y
15.2_239,y
15.2_240,y
15.2_242,y
15.2_244,y
15.2_245,y
15.2_246,NA
15.2_247,y
15.2_248,y
15.2_250,y
15.2_251,y
15.2_252,NA
15.2_253,y
15.2_254,y
15.2_255,y
15.2_256,y
15.2_257,NA
15.2_261,y
15.2_262,y
15.2_263,n
15.2_264,NA
15.2_266,y
15.2_267,n
15.2_269,n
15.2_270,y
15.2_272,n
15.2_274,n
15.2_275,n
15.2_276,n
15.2_277,n
15.2_278,y
15.2_279,n
15.2_280,n
15.2_282,y
15.2_283,y
15.2_284,y
15.2_285,n
15.2_286,n
15.2_289,n
15.2_290,y
15.2_292,y
15.2_294,y
15.2_295,y
15.2_296,n
15.2_297,y
15.2_298,y
15.2_299,n
15.2_301,y
15.2_302,n
15.2_303,n
15.2_305,n
15.2_306,y
15.2_307,n
15.2_308,y
15.2_309,n
15.2_311,n
15.2_312,n
15.2_314,y
15.2_316,n
15.2_319,y
15.2_321,y
15.2_322,n
15.2_323,y
15.2_325,n
